Generating SQLite file /home/aihimekpen/research_summer_2026/research/results/step1_profiling_unifolm_vla0/nsight_systems_20260805_140403/unifolm_vla0_nsys.sqlite from /home/aihimekpen/research_summer_2026/research/results/step1_profiling_unifolm_vla0/nsight_systems_20260805_140403/unifolm_vla0_nsys.nsys-rep
Processing [/home/aihimekpen/research_summer_2026/research/results/step1_profiling_unifolm_vla0/nsight_systems_20260805_140403/unifolm_vla0_nsys.sqlite] with [/opt/nvidia/nsight-systems/2023.1.2/host-linux-x64/reports/cuda_gpu_trace.py]... 

 ** CUDA GPU Trace (cuda_gpu_trace):

  Start (ns)    Duration (ns)  CorrId  GrdX  GrdY  GrdZ  BlkX  BlkY  BlkZ  Reg/Trd  StcSMem (MB)  DymSMem (MB)  Bytes (MB)  Throughput (MBps)  SrcMemKd  DstMemKd           Device           Ctx  Strm         Name       
 9,163,895,035          1,568   2,368  None  None  None  None  None  None  None     None          None               0.003          1,632.653  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 9,165,035,996      1,348,704   2,387  None  None  None  None  None  None  None     None          None               8.755          6,487.603  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 9,166,637,949          2,048   2,402  None  None  None  None  None  None  None     None          None               0.007          3,339.842  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 9,167,033,373      1,335,904   2,417  None  None  None  None  None  None  None     None          None               8.755          6,548.890  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 9,168,600,670          2,048   2,432  None  None  None  None  None  None  None     None          None               0.007          3,339.842  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 9,169,161,566      1,370,496   2,451  None  None  None  None  None  None  None     None          None               8.755          6,382.541  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 9,170,772,510          1,536   2,466  None  None  None  None  None  None  None     None          None               0.003          1,666.665  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 9,170,985,023          1,567   2,481  None  None  None  None  None  None  None     None          None               0.003          1,633.695  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 9,171,204,478          1,569   2,496  None  None  None  None  None  None  None     None          None               0.003          1,631.611  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
 9,171,594,463        450,432   2,511  None  None  None  None  None  None  None     None          None               3.277          7,274.496  Pageable  Device    Tesla V100-DGXS-32GB (0)    1     7  [CUDA memcpy HtoD]
